"","Character","Gender","speaking_turns","Total_Words"
"1","Admin Note","unknown",1,0
"2","All Fish","unknown",3,17
"3","Bailey","male",66,510
"4","Bill","male",2,32
"5","Bloat","male",1,2
"6","Blue Student","unknown",1,8
"7","Blue Tangs","unknown",4,19
"8","Carol","female",2,19
"9","Charlie","male",58,377
"10","Child","unknown",2,12
"11","Class","unknown",3,8
"12","Crush","male",7,64
"13","Deb","female",1,5
"14","Destiny","female",84,497
"15","Dory","female",399,4210
"16","Female Aquarist","female",3,19
"17","Female Aquarist 2","female",1,11
"18","Female Blue Tang","female",4,29
"19","Female Blue Tang 2","female",1,4
"20","Female Crab","female",7,69
"21","Female Driver","female",5,30
"22","Female Educator","female",2,35
"23","Female Fish","female",2,14
"24","Female Fish 2","female",1,5
"25","Female Otter Trainer","female",2,17
"26","Female Worker","female",2,12
"27","Female Yellow Fish","female",1,4
"28","Fish","unknown",3,26
"29","Fluke","male",34,262
"30","Gerald","male",3,3
"31","Giant Clam","male",6,95
"32","Gil","male",4,36
"33","Green Student","unknown",1,6
"34","Gurgle","male",1,6
"35","Hank","male",119,1131
"36","Hermit Crabs","unknown",4,4
"37","Jacques","male",1,1
"38","Jenny","female",55,410
"39","Kathy","female",5,31
"40","Kids","unknown",1,2
"41","Male Aquarist","male",1,4
"42","Male Aquarist 2","male",2,10
"43","Male Blue Tang","male",1,8
"44","Male Blue Tang 2","male",2,28
"45","Male Car Driver","unknown",1,5
"46","Male Driver","unknown",10,57
"47","Male Employee","unknown",3,45
"48","Male Sunfish","unknown",2,11
"49","Male Worker","male",2,21
"50","Male Yellow Fish","male",1,3
"51","Male Yellow Fish 2","male",1,1
"52","Marlin","male",162,1612
"53","Migrating Rays","unknown",2,75
"54","Mr. Ray","male",23,211
"55","Nemo","male",72,388
"56","Peach","male",1,4
"57","Rudder","male",25,123
"58","Sea Cucumber","male",3,3
"59","Sea Cucumber 2","male",1,4
"60","Seagulls","unknown",1,4
"61","Seastar","unknown",2,3
"62","Sick Fish","male",2,6
"63","Sigourney Weaver","female",13,124
"64","Squirt","male",2,15
"65","Stan","male",18,82
"66","Student","unknown",1,2
"67","Student 2","unknown",1,5
"68","Turtle Hatchling 1","unknown",1,7
"69","Turtle Hatchling 2","unknown",1,7
"70","Wife Fish","female",19,108
"71","Woman 1","female",1,14
"72","Worms","unknown",2,13
"73","Yellow Fish","unknown",1,1
