"","Character","Gender","speaking_turns","Total_Words","radius","diameter"
"1","Akela","male",14,133,11.5325625946708,23.0651251893416
"2","Bagheera","male",77,909,30.1496268633627,60.2992537267253
"3","Baloo","male",88,1737,41.6773319683494,83.3546639366988
"4","Female Antelope","female",1,2,1.4142135623731,2.82842712474619
"5","Female Wolf","female",2,11,3.3166247903554,6.6332495807108
"6","Fred","male",5,17,4.12310562561766,8.24621125123532
"7","Gray","female",16,92,9.59166304662544,19.1833260932509
"8","Ikki","male",6,93,9.64365076099295,19.2873015219859
"9","Kaa","female",8,210,14.4913767461894,28.9827534923789
"10","King Louie","male",20,512,22.6274169979695,45.254833995939
"11","Male Antelope","male",1,5,2.23606797749979,4.47213595499958
"12","Male Hoofstock","male",1,6,2.44948974278318,4.89897948556636
"13","Male Impala","male",1,5,2.23606797749979,4.47213595499958
"14","Male Large Hoofstock","male",1,2,1.4142135623731,2.82842712474619
"15","Male Mice","male",4,15,3.87298334620742,7.74596669241483
"16","Male Pangolin","male",11,55,7.41619848709566,14.8323969741913
"17","Male Rhino","male",2,8,2.82842712474619,5.65685424949238
"18","Male Squirrel","male",9,49,7,14
"19","Male Wolf","male",5,35,5.91607978309962,11.8321595661992
"20","Male Wolf 1","male",2,6,2.44948974278318,4.89897948556636
"21","Male Wolf 2","male",2,4,2,4
"22","Male Wolf 3","male",1,2,1.4142135623731,2.82842712474619
"23","Mowgli","male",134,1207,34.7419055320804,69.4838110641608
"24","Peacock","male",4,19,4.35889894354067,8.71779788708135
"25","Raksha","female",30,266,16.3095064303001,32.6190128606002
"26","Rama","male",1,10,3.16227766016838,6.32455532033676
"27","Shere Khan","male",23,552,23.4946802489415,46.9893604978829
"28","Young Rhino","female",2,10,3.16227766016838,6.32455532033676
