"","Character","Gender","speaking_turns","Total_Words","radius","diameter"
"1","Alfred","male",30,438,20.9284495364563,41.8568990729127
"2","Amajagh's Assistant 2","male",1,4,2,4
"3","Anatoli Knyazev","male",8,60,7.74596669241483,15.4919333848297
"4","Anderson Cooper","male",3,127,11.2694276695846,22.5388553391693
"5","Andrew Sullivan","male",1,21,4.58257569495584,9.16515138991168
"6","Announcer","male",2,14,3.74165738677394,7.48331477354788
"7","Bruce Wayne (Batman)","male",81,1089,33,66
"8","Captive Woman","female",3,11,3.3166247903554,6.6332495807108
"9","Cesar","male",1,18,4.24264068711928,8.48528137423857
"10","Chairman of Joint Chiefs","male",1,7,2.64575131106459,5.29150262212918
"11","Charlie Rose","male",3,60,7.74596669241483,15.4919333848297
"12","Clark Kent (Superman)","male",46,453,21.2837966537928,42.5675933075855
"13","Cop","male",1,21,4.58257569495584,9.16515138991168
"14","Courtroom Assistant","male",1,8,2.82842712474619,5.65685424949238
"15","Daily Planet Worker","male",1,7,2.64575131106459,5.29150262212918
"16","Dana Bash","female",2,62,7.87400787401181,15.7480157480236
"17","Diana Prince (Wonder Woman)","female",16,179,13.3790881602597,26.7581763205193
"18","Dr. Silas Stone","male",1,31,5.56776436283002,11.13552872566
"19","Emmet","male",1,45,6.70820393249937,13.4164078649987
"20","Erika Erickson","female",2,73,8.54400374531753,17.0880074906351
"21","Finch's Assistant","female",1,4,2,4
"22","Flash","male",1,43,6.557438524302,13.114877048604
"23","Flight Attendant","female",2,6,2.44948974278318,4.89897948556636
"24","General","male",2,21,4.58257569495584,9.16515138991168
"25","General Amajagh","male",5,66,8.12403840463596,16.2480768092719
"26","Glen Woodburn","male",1,21,4.58257569495584,9.16515138991168
"27","Governor","male",1,6,2.44948974278318,4.89897948556636
"28","Greg","male",3,33,5.74456264653803,11.4891252930761
"29","Guard","male",1,27,5.19615242270663,10.3923048454133
"30","Helpers","male",1,4,2,4
"31","Jack","male",4,39,6.2449979983984,12.4899959967968
"32","James","male",2,17,4.12310562561766,8.24621125123532
"33","Jenny","female",10,79,8.88819441731559,17.7763888346312
"34","Jonathan Kent","male",2,151,12.2882057274445,24.576411454889
"35","Kahina","female",2,52,7.21110255092798,14.422205101856
"36","Knyazev's Man 1","male",1,3,1.73205080756888,3.46410161513775
"37","Knyazev's Man 2","male",1,2,1.4142135623731,2.82842712474619
"38","Kryptonian Ship","female",11,121,11,22
"39","Leblanc","female",1,11,3.3166247903554,6.6332495807108
"40","Lex Luthor","male",54,1480,38.4707681233427,76.9415362466854
"41","Lois Lane","female",48,397,19.9248588451713,39.8497176903426
"42","Major Farris","female",1,1,1,2
"43","Man 3","male",2,8,2.82842712474619,5.65685424949238
"44","Man 4","male",1,5,2.23606797749979,4.47213595499958
"45","Man in Car","male",1,4,2,4
"46","Man in Car 2","male",1,1,1,2
"47","Man on TV","male",1,11,3.3166247903554,6.6332495807108
"48","Martha Kent","female",3,79,8.88819441731559,17.7763888346312
"49","Mercy Graves","female",4,14,3.74165738677394,7.48331477354788
"50","Military 2","male",2,6,2.44948974278318,4.89897948556636
"51","Military 3","male",1,3,1.73205080756888,3.46410161513775
"52","Military Man","male",1,6,2.44948974278318,4.89897948556636
"53","Military Man 2","male",1,5,2.23606797749979,4.47213595499958
"54","Military Personnel","female",4,20,4.47213595499958,8.94427190999916
"55","Mr. Wayne","male",2,2,1.4142135623731,2.82842712474619
"56","Nancy Grace","female",1,37,6.08276253029822,12.1655250605964
"57","Neil deGrasse Tyson","male",1,86,9.2736184954957,18.5472369909914
"58","Newscaster","male",1,80,8.94427190999916,17.8885438199983
"59","Officer","male",2,14,3.74165738677394,7.48331477354788
"60","Officer 2","male",2,22,4.69041575982343,9.38083151964686
"61","Officer 3","male",1,6,2.44948974278318,4.89897948556636
"62","Officer 4","male",1,6,2.44948974278318,4.89897948556636
"63","Officer Rucka","male",3,22,4.69041575982343,9.38083151964686
"64","Operator","male",1,15,3.87298334620742,7.74596669241483
"65","Perry White","male",21,259,16.0934769394311,32.1869538788622
"66","Photographer","male",2,8,2.82842712474619,5.65685424949238
"67","Pilot","male",1,4,2,4
"68","Player","male",1,3,1.73205080756888,3.46410161513775
"69","President","male",5,22,4.69041575982343,9.38083151964686
"70","Reporter 2","male",3,57,7.54983443527075,15.0996688705415
"71","Reporter 3","male",1,15,3.87298334620742,7.74596669241483
"72","Reporter 4","female",2,17,4.12310562561766,8.24621125123532
"73","Reporter 5","female",2,46,6.78232998312527,13.5646599662505
"74","Secretary Swanwick","male",18,175,13.228756555323,26.4575131106459
"75","Senator","male",5,31,5.56776436283002,11.13552872566
"76","Senator Finch","female",15,302,17.3781471969828,34.7562943939655
"77","Signals Officer","male",1,3,1.73205080756888,3.46410161513775
"78","Soledad O'Brien","female",2,72,8.48528137423857,16.9705627484771
"79","Vikram Gandhi","male",2,108,10.3923048454133,20.7846096908265
"80","Wallace","male",10,108,10.3923048454133,20.7846096908265
"81","Woman","male",1,5,2.23606797749979,4.47213595499958
"82","Woman 2","male",1,5,2.23606797749979,4.47213595499958
