"","Character","Gender","speaking_turns","Total_Words","radius","diameter"
"1","Agent Smith","male",14,144,12,24
"2","Ajax","male",48,945,30.7408522978788,61.4817045957576
"3","Al","female",20,153,12.369316876853,24.738633753706
"4","Angel","female",7,29,5.3851648071345,10.770329614269
"5","Announcer","male",2,24,4.89897948556636,9.79795897113271
"6","Another Guy","male",1,6,2.44948974278318,4.89897948556636
"7","Apartment Owner","male",8,94,9.69535971483266,19.3907194296653
"8","Bob","male",2,3,1.73205080756888,3.46410161513775
"9","Boothe","male",3,9,3,6
"10","Boss","male",1,13,3.60555127546399,7.21110255092798
"11","Buck","male",6,22,4.69041575982343,9.38083151964686
"12","Colossus","male",33,296,17.2046505340853,34.4093010681705
"13","Cunningham","male",7,40,6.32455532033676,12.6491106406735
"14","Deadpool","male",298,4692,68.4981751581748,136.99635031635
"15","Doctor","male",2,40,6.32455532033676,12.6491106406735
"16","Dopinder","male",24,188,13.7113092008021,27.4226184016042
"17","Garbage Man","male",1,2,1.4142135623731,2.82842712474619
"18","Gunmen Leader","male",1,2,1.4142135623731,2.82842712474619
"19","Jeremy","male",9,56,7.48331477354788,14.9666295470958
"20","Meghan","female",2,8,2.82842712474619,5.65685424949238
"21","Negasonic","female",16,72,8.48528137423857,16.9705627484771
"22","Reporter","female",1,42,6.48074069840786,12.9614813968157
"23","Skee Ball Guy","male",1,18,4.24264068711928,8.48528137423857
"24","Some Guy","male",1,5,2.23606797749979,4.47213595499958
"25","Some Guys","male",1,6,2.44948974278318,4.89897948556636
"26","Unknown Girl","female",1,8,2.82842712474619,5.65685424949238
"27","Unknown Guy","male",3,11,3.3166247903554,6.6332495807108
"28","Unknown Guy 2","male",1,4,2,4
"29","Unknown Man","male",6,24,4.89897948556636,9.79795897113271
"30","Unknown Woman","female",3,11,3.3166247903554,6.6332495807108
"31","Unknown Woman 2","female",1,4,2,4
"32","Unknown Woman 3","female",1,2,1.4142135623731,2.82842712474619
"33","Vanessa","female",67,442,21.0237960416286,42.0475920832573
"34","Weasel","male",62,731,27.0370116691915,54.0740233383831
