"","Character","Gender","speaking_turns","Total_Words","radius","diameter"
"1","Abernathy","male",7,56,7.48331477354788,14.9666295470958
"2","Auror 1","male",1,2,1.4142135623731,2.82842712474619
"3","Auror 2","male",1,1,1,2
"4","Awards Announcer","male",1,42,6.48074069840786,12.9614813968157
"5","Bank Employee","male",1,5,2.23606797749979,4.47213595499958
"6","Barker","male",2,16,4,8
"7","Bartender","male",3,12,3.46410161513775,6.92820323027551
"8","Bernadette","female",2,12,3.46410161513775,6.92820323027551
"9","Bingley","male",8,57,7.54983443527075,15.0996688705415
"10","Bingley's Assistant","female",1,8,2.82842712474619,5.65685424949238
"11","Boy","male",1,6,2.44948974278318,4.89897948556636
"12","Chastity Barebone","female",2,17,4.12310562561766,8.24621125123532
"13","Credence Barebone","male",16,121,11,22
"14","Customs Agent","male",6,23,4.79583152331272,9.59166304662544
"15","Executioner 1","female",1,9,3,6
"16","Gnarlak","male",8,110,10.4880884817015,20.976176963403
"17","Grindelwald","male",2,13,3.60555127546399,7.21110255092798
"18","Heinrich Eberstadt","male",1,18,4.24264068711928,8.48528137423857
"19","Henry Shaw Jr.","male",5,74,8.60232526704263,17.2046505340853
"20","Henry Shaw Sr.","male",9,87,9.32737905308882,18.6547581061776
"21","Jacob Kowalski","male",91,737,27.1477439209965,54.2954878419929
"22","Langdon Shaw","male",11,139,11.7898261225516,23.5796522451032
"23","Madam Ya Zhou","female",1,10,3.16227766016838,6.32455532033676
"24","Man","male",1,2,1.4142135623731,2.82842712474619
"25","Man 2","male",1,2,1.4142135623731,2.82842712474619
"26","Man from Apartment","male",1,15,3.87298334620742,7.74596669241483
"27","Mary Lou Barebone","female",16,213,14.5945195193264,29.1890390386528
"28","Minister","male",3,22,4.69041575982343,9.38083151964686
"29","Modesty Barebone","female",6,115,10.7238052947636,21.4476105895272
"30","Momolou Wotorson","male",1,5,2.23606797749979,4.47213595499958
"31","Mrs. Esposito","female",2,6,2.44948974278318,4.89897948556636
"32","Mrs. Goldstein","female",2,10,3.16227766016838,6.32455532033676
"33","Newt Scamander","male",175,2037,45.133136385587,90.2662727711741
"34","Percival Graves","male",42,673,25.9422435421457,51.8844870842914
"35","Police Officer","male",2,17,4.12310562561766,8.24621125123532
"36","Police Officer 2","male",1,2,1.4142135623731,2.82842712474619
"37","Police Officer 3","male",1,5,2.23606797749979,4.47213595499958
"38","Queenie Goldstein","female",43,403,20.0748598998847,40.1497197997695
"39","Red","male",2,6,2.44948974278318,4.89897948556636
"40","Reporter","male",3,12,3.46410161513775,6.92820323027551
"41","Reporter 2","male",3,22,4.69041575982343,9.38083151964686
"42","Sam","male",3,7,2.64575131106459,5.29150262212918
"43","Seraphina Picquery","female",21,303,17.4068951855292,34.8137903710584
"44","Shopping Woman","female",1,9,3,6
"45","Tina Goldstein","female",106,930,30.4959013639538,60.9918027279076
"46","Witness","male",2,48,6.92820323027551,13.856406460551
"47","Woman","female",1,3,1.73205080756888,3.46410161513775
"48","Woman 2","female",1,1,1,2
"49","Woman from Apartment","female",1,19,4.35889894354067,8.71779788708135
