"","Character","Gender","speaking_turns","Total_Words","radius","diameter"
"1","Buddy","male",26,169,13,26
"2","Cat's Mom","female",1,2,1.4142135623731,2.82842712474619
"3","Chloe","female",27,284,16.8522995463527,33.7045990927054
"4","Chloe's Mom","female",1,7,2.64575131106459,5.29150262212918
"5","Derick","male",4,16,4,8
"6","Dogcatcher 1","male",8,47,6.85565460040104,13.7113092008021
"7","Dogcatcher 2","male",8,41,6.40312423743285,12.8062484748657
"8","Dragon","male",1,3,1.73205080756888,3.46410161513775
"9","Duke","male",102,855,29.2403830344269,58.4807660688538
"10","Female Corgi","female",1,4,2,4
"11","Female Dog","female",1,2,1.4142135623731,2.82842712474619
"12","Fernando","male",2,27,5.19615242270663,10.3923048454133
"13","Fluffy Cat","male",3,36,6,12
"14","Gidget","female",58,579,24.0624188310319,48.1248376620639
"15","Gidget's Mom","female",1,6,2.44948974278318,4.89897948556636
"16","Gino's Dad","male",1,3,1.73205080756888,3.46410161513775
"17","Girl Dog Walker","female",2,6,2.44948974278318,4.89897948556636
"18","Guillermo","male",4,21,4.58257569495584,9.16515138991168
"19","Guy Playing Fetch","male",1,2,1.4142135623731,2.82842712474619
"20","Katie","female",12,234,15.2970585407784,30.5941170815567
"21","Leonard's Dad","male",2,15,3.87298334620742,7.74596669241483
"22","Little Girl","female",4,30,5.47722557505166,10.9544511501033
"23","Male Cat","male",1,2,1.4142135623731,2.82842712474619
"24","Male Cat 2","male",2,5,2.23606797749979,4.47213595499958
"25","Male Dog","male",1,4,2,4
"26","Male Golden Retriever","male",1,5,2.23606797749979,4.47213595499958
"27","Male Turtle","male",1,2,1.4142135623731,2.82842712474619
"28","Man","male",1,2,1.4142135623731,2.82842712474619
"29","Maria","female",3,15,3.87298334620742,7.74596669241483
"30","Max","male",152,1659,40.7308237088326,81.4616474176652
"31","Mel","male",25,201,14.1774468787578,28.3548937575157
"32","Mel's Dad","male",1,3,1.73205080756888,3.46410161513775
"33","Nitro","male",2,22,4.69041575982343,9.38083151964686
"34","Norman","male",14,69,8.30662386291807,16.6132477258361
"35","Ozone","male",11,124,11.13552872566,22.2710574513201
"36","Peanut","male",3,11,3.3166247903554,6.6332495807108
"37","Peppy's Dad","male",1,2,1.4142135623731,2.82842712474619
"38","Pops","male",27,261,16.1554944214035,32.310988842807
"39","Retractable Leash Dog","male",1,8,2.82842712474619,5.65685424949238
"40","Runty's Dad","male",1,2,1.4142135623731,2.82842712474619
"41","Seamonkey","male",1,10,3.16227766016838,6.32455532033676
"42","Shelly's Mom","female",1,4,2,4
"43","Snowball","male",55,1045,32.3264597504892,64.6529195009785
"44","Sweetpea's Dad","male",1,2,1.4142135623731,2.82842712474619
"45","Tattoo","male",6,49,7,14
"46","Taxi Driver","male",1,1,1,2
"47","Tiberius","male",27,275,16.583123951777,33.166247903554
"48","Woman","female",2,5,2.23606797749979,4.47213595499958
